date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:25	36880/36880	---M--	200	added ('OK')	image/jpeg	etag:%229010-5a5c42f856e40%22	https://preview.colorlib.com/theme/unfold/images/person_man_2.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/person_man_2.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:26	40020/40020	---M--	200	added ('OK')	image/jpeg	etag:%229c54-5a5c42f94b080%22	https://preview.colorlib.com/theme/unfold/images/person_woman_1.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/person_woman_1.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:28	12752/12752	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:05%20GMT	https://preview.colorlib.com/theme/unfold/blog-single.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/blog-single.html	(from https://preview.colorlib.com/theme/unfold/)
17:06:29	583509/583509	---M--	200	added ('OK')	image/jpeg	etag:%228e755-5a5c4300ec280%22	https://preview.colorlib.com/theme/unfold/images/post_1.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/post_1.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:31	1144435/1144435	---M--	200	added ('OK')	image/jpeg	etag:%22117673-5a5c42fff8040%22	https://preview.colorlib.com/theme/unfold/images/post_2.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/post_2.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:31	654124/654124	---M--	200	added ('OK')	image/jpeg	etag:%229fb2c-5a5c4303c8940%22	https://preview.colorlib.com/theme/unfold/images/post_3.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/post_3.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:33	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22645e2b95-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/unfold/)
17:06:34	567178/567178	---M--	200	added ('OK')	image/jpeg	etag:%228a78a-5a5c43088d480%22	https://preview.colorlib.com/theme/unfold/images/post_4.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/post_4.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:34	964957/964957	---M--	200	added ('OK')	image/jpeg	etag:%22eb95d-5a5c43088d480%22	https://preview.colorlib.com/theme/unfold/images/post_5.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/post_5.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:35	549533/549533	---MCZ	200	added ('OK')	application/javascript	etag:%228629d-5a5c431ba0180-gzip%22	https://preview.colorlib.com/theme/unfold/js/scripts-dist.js	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/js/scripts-dist.js	(from https://preview.colorlib.com/theme/unfold/)
17:06:35	15361/15361	---M-Z	200	added ('OK')	application/javascript	etag:%223c01-5a5c4318c3ac0-gzip%22	https://preview.colorlib.com/theme/unfold/js/main.js	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/js/main.js	(from https://preview.colorlib.com/theme/unfold/)
17:06:36	71286/71286	---M--	200	added ('OK')	image/jpeg	etag:%2211676-5a5c4309816c0%22	https://preview.colorlib.com/theme/unfold/images/work_1_full.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_1_full.jpg	(from https://preview.colorlib.com/theme/unfold/portfolio-single-1.html)
17:06:37	53971/53971	---M--	200	added ('OK')	image/jpeg	etag:%22d2d3-5a5c4309816c0%22	https://preview.colorlib.com/theme/unfold/images/work_1_a_full.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_1_a_full.jpg	(from https://preview.colorlib.com/theme/unfold/portfolio-single-1.html)
17:06:39	196120/196120	---M--	200	added ('OK')	image/jpeg	etag:%222fe18-5a5c430e46200%22	https://preview.colorlib.com/theme/unfold/images/work_2_full.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_2_full.jpg	(from https://preview.colorlib.com/theme/unfold/portfolio-single-3.html)
